time,qw,qx,qy,qz
1.86,0.3555852,0.1015264,-0.1302245,-0.9199419
1.88,0.3516324,0.1074979,-0.1400382,-0.9193412
1.90,0.3473942,0.1132423,-0.1499936,-0.9186922
1.92,0.3428665,0.1187403,-0.1600931,-0.9179943
1.94,0.3380448,0.1239721,-0.1703378,-0.9172468
1.96,0.3329243,0.1289172,-0.1807276,-0.9164493
1.98,0.3275000,0.1335549,-0.1912607,-0.9156015
2.00,0.3217667,0.1378641,-0.2019340,-0.9147034
2.02,0.3157187,0.1418236,-0.2127429,-0.9137550
2.04,0.3093504,0.1454117,-0.2236811,-0.9127565
2.06,0.3026558,0.1486071,-0.2347409,-0.9117083
2.08,0.2956288,0.1513884,-0.2459127,-0.9106109
2.10,0.2882629,0.1537345,-0.2571855,-0.9094645
2.12,0.2805519,0.1556248,-0.2685468,-0.9082699
2.14,0.2724891,0.1570388,-0.2799823,-0.9070272
2.16,0.2640678,0.1579572,-0.2914763,-0.9057369
2.18,0.2552816,0.1583610,-0.3030116,-0.9043987
2.20,0.2461237,0.1582323,-0.3145697,-0.9030125
2.22,0.2365875,0.1575542,-0.3261306,-0.9015774
2.24,0.2266665,0.1563109,-0.3376731,-0.9000922
2.26,0.2163545,0.1544878,-0.3491750,-0.8985550
2.28,0.2056453,0.1520715,-0.3606129,-0.8969630
2.30,0.1945329,0.1490502,-0.3719622,-0.8953128
2.32,0.1830119,0.1454133,-0.3831979,-0.8936000
2.34,0.1710769,0.1411517,-0.3942938,-0.8918191
2.36,0.1587233,0.1362581,-0.4052232,-0.8899634
2.38,0.1459466,0.1307265,-0.4159586,-0.8880251
2.40,0.1327433,0.1245527,-0.4264721,-0.8859951
2.42,0.1191101,0.1177341,-0.4367354,-0.8838629
2.44,0.1050447,0.1102698,-0.4467194,-0.8816167
2.46,0.0905455,0.1021605,-0.4563952,-0.8792429
2.48,0.0756118,0.0934090,-0.4657332,-0.8767270
2.50,0.0602440,0.0840195,-0.4747038,-0.8740525
2.52,0.0444433,0.0739985,-0.4832769,-0.8712017
2.54,0.0282124,0.0633539,-0.4914227,-0.8681556
2.56,0.0115551,0.0520959,-0.4991110,-0.8648935
2.58,0.0055232,-0.0402368,0.5063118,0.8613936
2.60,0.0230156,-0.0277906,0.5129951,0.8576328
2.62,0.0409137,-0.0147739,0.5191309,0.8535871
2.64,0.0592070,-0.0012052,0.5246899,0.8492312
2.66,0.0778833,0.0128944,0.5296427,0.8445393
2.68,0.0969283,0.0275016,0.5339606,0.8394847
2.70,0.1163255,0.0425906,0.5376156,0.8340407
2.72,0.1360563,0.0581329,0.5405805,0.8281799
2.74,0.1560996,0.0740978,0.5428290,0.8218754
2.76,0.1764321,0.0904515,0.5443361,0.8151003
2.78,0.1970278,0.1071579,0.5450784,0.8078284
2.80,0.2178586,0.1241782,0.5450339,0.8000347
2.82,0.2388936,0.1414710,0.5441828,0.7916949
2.84,0.2600998,0.1589924,0.5425074,0.7827868
2.86,0.2814418,0.1766961,0.5399926,0.7732897
2.88,0.3028820,0.1945335,0.5366259,0.7631853
2.90,0.3243808,0.2124540,0.5323981,0.7524578
2.92,0.3458968,0.2304049,0.5273031,0.7410941
2.94,0.3673870,0.2483321,0.5213386,0.7290844
2.96,0.3888073,0.2661803,0.5145058,0.7164222
2.98,0.4101124,0.2838929,0.5068102,0.7031046
3.00,0.4312565,0.3014132,0.4982612,0.6891326
3.02,0.4521937,0.3186837,0.4888726,0.6745110
3.04,0.4728782,0.3356477,0.4786625,0.6592488
3.06,0.4932650,0.3522490,0.4676533,0.6433589
3.08,0.5133098,0.3684324,0.4558718,0.6268584
3.10,0.5329703,0.3841444,0.4433490,0.6097683
3.12,0.5522058,0.3993335,0.4301197,0.5921136
3.14,0.5709781,0.4139508,0.4162230,0.5739227
3.16,0.5892515,0.4279501,0.4017011,0.5552276
3.18,0.6069936,0.4412883,0.3865998,0.5360634
3.20,0.6241754,0.4539262,0.3709677,0.5164679
3.22,0.6407713,0.4658279,0.3548558,0.4964814
3.24,0.6567597,0.4769620,0.3383175,0.4761462
3.26,0.6721229,0.4873010,0.3214075,0.4555061
3.28,0.6868472,0.4968217,0.3041819,0.4346061
3.30,0.7009231,0.5055055,0.2866977,0.4134919
3.32,0.7143450,0.5133378,0.2690118,0.3922093
3.34,0.7271115,0.5203084,0.2511815,0.3708044
3.36,0.7392248,0.5264114,0.2332631,0.3493223
3.38,0.7506908,0.5316448,0.2153123,0.3278075
3.40,0.7615189,0.5360104,0.1973834,0.3063031
3.42,0.7717215,0.5395137,0.1795294,0.2848509
3.44,0.7813142,0.5421635,0.1618010,0.2634907
3.46,0.7903148,0.5439716,0.1442474,0.2422604
3.48,0.7987436,0.5449528,0.1269152,0.2211959
3.50,0.8066227,0.5451245,0.1098487,0.2003305
3.52,0.8139760,0.5445061,0.0930896,0.1796953
3.54,0.8208285,0.5431193,0.0766772,0.1593192
3.56,0.8272062,0.5409872,0.0606481,0.1392282
3.58,0.8331359,0.5381347,0.0450363,0.1194462
