t,qx,qy,qz,qw
9.30,-0.20677066,0.08036391,0.80275195,0.55351317
9.32,-0.20800027,0.08389948,0.80684611,0.54653099
9.34,-0.20926616,0.08738597,0.81086600,0.53950690
9.37,-0.21081847,0.09151707,0.81558684,0.53103513
9.38,-0.21185869,0.09424548,0.81867886,0.52535570
9.41,-0.21340544,0.09831096,0.82324188,0.51678417
9.43,-0.21466814,0.10167641,0.82697960,0.50959223
9.45,-0.21589729,0.10501884,0.83066072,0.50235662
9.47,-0.21731265,0.10900359,0.83500638,0.49361703
9.49,-0.21821520,0.11164580,0.83786058,0.48775710
9.50,-0.21908147,0.11427624,0.84068216,0.48186902
9.52,-0.21991005,0.11689348,0.84347107,0.47595381
9.54,-0.22088893,0.12014276,0.84691126,0.46852440
9.56,-0.22162271,0.12272555,0.84962923,0.46254944
9.58,-0.22263599,0.12657147,0.85364963,0.45353632
9.60,-0.22339504,0.12974369,0.85694745,0.44598463
9.62,-0.22407431,0.13288627,0.86021094,0.43837093
9.64,-0.22472566,0.13597995,0.86341533,0.43072241
9.66,-0.22526509,0.13840586,0.86592623,0.42458358
9.68,-0.22623631,0.14255642,0.87021079,0.41379702
9.70,-0.22693866,0.14545869,0.87318715,0.40606012
9.72,-0.22763726,0.14831611,0.87609658,0.39829435
9.74,-0.22819458,0.15056676,0.87836603,0.39208417
9.76,-0.22888807,0.15334287,0.88114122,0.38429984
9.78,-0.22943455,0.15553832,0.88331455,0.37805162
9.80,-0.23009894,0.15825678,0.88597467,0.37021367
9.81,-0.23061359,0.16041229,0.88806121,0.36391284
9.83,-0.23123057,0.16308237,0.89061541,0.35600668
9.85,-0.23170482,0.16519817,0.89261560,0.34965673
9.87,-0.23226153,0.16782209,0.89507196,0.34166727
9.88,-0.23268029,0.16990200,0.89699398,0.33525362
9.90,-0.23307695,0.17196571,0.89887836,0.32881702
9.92,-0.23364125,0.17502656,0.90163077,0.31912290
9.95,-0.23427523,0.17802663,0.90426596,0.30939409
9.97,-0.23501415,0.18096514,0.90677537,0.29963042
9.99,-0.23569017,0.18337499,0.90877442,0.29146665
10.01,-0.23626345,0.18528135,0.91031243,0.28492400
10.02,-0.23685846,0.18717282,0.91179688,0.27837180
10.04,-0.23747080,0.18905117,0.91322716,0.27181507
10.06,-0.23809711,0.19091868,0.91460565,0.26524766
10.07,-0.23873308,0.19277578,0.91593355,0.25866919
10.09,-0.23954000,0.19508477,0.91752229,0.25043035
10.11,-0.24035501,0.19738670,0.91903131,0.24217640
10.13,-0.24100568,0.19922389,0.92018234,0.23556437
10.14,-0.24164710,0.20105736,0.92128735,0.22893718
10.16,-0.24243022,0.20334791,0.92260716,0.22062014
10.19,-0.24333748,0.20609588,0.92410213,0.21058635
10.20,-0.24391788,0.20792401,0.92504421,0.20387466
10.22,-0.24447410,0.20975019,0.92594361,0.19714389
10.24,-0.24512095,0.21202497,0.92701696,0.18868145
10.26,-0.24560132,0.21384222,0.92782891,0.18189287
10.27,-0.24608439,0.21565542,0.92858932,0.17509166
10.29,-0.24672124,0.21791534,0.92945825,0.16658001
10.31,-0.24724070,0.21971887,0.93009021,0.15977437
10.33,-0.24801578,0.22242990,0.93093996,0.14954564
10.35,-0.24864009,0.22469711,0.93156240,0.14099931
10.37,-0.24923096,0.22697233,0.93210984,0.13243392
10.39,-0.24977490,0.22926040,0.93258480,0.12384568
10.41,-0.25026123,0.23156044,0.93299111,0.11522442
10.43,-0.25067174,0.23387402,0.93333291,0.10656598
10.45,-0.25099159,0.23620224,0.93361204,0.09787892
10.47,-0.25121376,0.23854658,0.93383055,0.08914975
10.49,-0.25131497,0.24043197,0.93396399,0.08212509
10.51,-0.25133918,0.24279979,0.93407939,0.07329787
10.54,-0.25119072,0.24613056,0.93414098,0.06085715
10.56,-0.25096667,0.24851544,0.93410954,0.05191512
10.58,-0.25065661,0.25090284,0.93401089,0.04292663
10.60,-0.25028297,0.25329426,0.93383727,0.03388818
10.62,-0.24984183,0.25617881,0.93350080,0.02297262
10.64,-0.24957722,0.25810615,0.93319138,0.01569293
10.66,-0.24925550,0.26051943,0.93271544,0.00657468
10.67,0.24899462,-0.26245005,-0.93226666,0.00073158
10.69,0.24866576,-0.26485505,-0.93162211,0.00986859
10.71,0.24840638,-0.26676723,-0.93103951,0.01717405
10.73,0.24807913,-0.26912917,-0.93023507,0.02624788
10.74,0.24781667,-0.27099792,-0.92952904,0.03350812
10.76,0.24748402,-0.27330581,-0.92857049,0.04257266
10.78,0.24714558,-0.27557684,-0.92752962,0.05162627
10.80,0.24686834,-0.27736631,-0.92663878,0.05886012
10.82,0.24658505,-0.27913224,-0.92569601,0.06609013
10.84,0.24621641,-0.28130413,-0.92444687,0.07512287
10.85,0.24590742,-0.28301434,-0.92338977,0.08236355
10.88,0.24541349,-0.28553286,-0.92170667,0.09327389
10.90,0.24498323,-0.28758099,-0.92021883,0.10236064
10.91,0.24462583,-0.28918461,-0.91897360,0.10962658
10.93,0.24425361,-0.29075565,-0.91768011,0.11689540
10.95,0.24376421,-0.29267000,-0.91599839,0.12597714
10.97,0.24325173,-0.29453102,-0.91424456,0.13504428
10.99,0.24276966,-0.29635192,-0.91240164,0.14408913
11.00,0.24242498,-0.29778627,-0.91085588,0.15131108
11.03,0.24194053,-0.29989779,-0.90843227,0.16210153
11.05,0.24154515,-0.30161385,-0.90632404,0.17106067
11.06,0.24122373,-0.30295624,-0.90458297,0.17820850
11.08,0.24080317,-0.30459600,-0.90234167,0.18712195
11.11,0.24025792,-0.30650407,-0.89956030,0.19779448
11.12,0.23986367,-0.30773654,-0.89765224,0.20490020
11.14,0.23932448,-0.30923437,-0.89521386,0.21375229
11.16,0.23873486,-0.31068202,-0.89271240,0.22259139
11.19,0.23795669,-0.31235039,-0.88962892,0.23318284
11.21,0.23710228,-0.31394340,-0.88645735,0.24375277
11.23,0.23634176,-0.31521810,-0.88374647,0.25253178
11.26,0.23537321,-0.31668648,-0.88040915,0.26303775
11.27,0.23469432,-0.31762457,-0.87813353,0.27002724
11.29,0.23380381,-0.31874802,-0.87523314,0.27875155
11.31,0.23287502,-0.31982203,-0.87226632,0.28746227
11.34,0.23178495,-0.32108331,-0.86859245,0.29787313
11.36,0.23087971,-0.32210656,-0.86543714,0.30652973
11.38,0.22995612,-0.32309424,-0.86220447,0.31517258
11.39,0.22919632,-0.32385307,-0.85956752,0.32207441
11.41,0.22821597,-0.32475886,-0.85620664,0.33069523
11.43,0.22719779,-0.32561056,-0.85277474,0.33931425
11.46,0.22592204,-0.32655588,-0.84857392,0.34963236
11.48,0.22481945,-0.32728133,-0.84500484,0.35820381
11.50,0.22368853,-0.32795021,-0.84137123,0.36675136
11.51,0.22276889,-0.32844591,-0.83841912,0.37356484
11.53,0.22160424,-0.32901829,-0.83467254,0.38204748
11.56,0.22019480,-0.32963717,-0.83009319,0.39217201
11.58,0.21878614,-0.33018379,-0.82543907,0.40219601
11.60,0.21762443,-0.33059118,-0.82148897,0.41049354
11.63,0.21610727,-0.33115129,-0.81581904,0.42199024
11.64,0.21531356,-0.33147808,-0.81250413,0.42848500
11.67,0.21419363,-0.33196257,-0.80743848,0.43813815
11.69,0.21331375,-0.33235354,-0.80313413,0.44610978
11.71,0.21247233,-0.33272704,-0.79875881,0.45401827
11.72,0.21182142,-0.33301117,-0.79519839,0.46032028
11.74,0.21119089,-0.33328635,-0.79160143,0.46656810
11.76,0.21041986,-0.33361012,-0.78704599,0.47432729
11.78,0.20965983,-0.33390729,-0.78242730,0.48203341
11.80,0.20905370,-0.33412642,-0.77868581,0.48816441
11.82,0.20814331,-0.33441781,-0.77300421,0.49729829
11.84,0.20737571,-0.33462229,-0.76820831,0.50485565
11.86,0.20659333,-0.33479100,-0.76335766,0.51236635
11.88,0.20595499,-0.33489955,-0.75943882,0.51834111
11.89,0.20530587,-0.33498571,-0.75548603,0.52428516
11.92,0.20413522,-0.33508463,-0.74848776,0.53461497
11.94,0.20344733,-0.33511386,-0.74444938,0.54046555
11.96,0.20260956,-0.33515930,-0.73934320,0.54771273
11.98,0.20149986,-0.33526934,-0.73207275,0.55772911
12.00,0.20087812,-0.33534763,-0.72785855,0.56339318
12.02,0.20009788,-0.33545741,-0.72253288,0.57041687
12.04,0.19930437,-0.33557301,-0.71714386,0.57738480
12.06,0.19865328,-0.33566631,-0.71278836,0.58292175
12.07,0.19798246,-0.33575708,-0.70839546,0.58842671
12.09,0.19728699,-0.33584356,-0.70396641,0.59390086
12.11,0.19618851,-0.33595874,-0.69725497,0.60206087
12.13,0.19541588,-0.33602234,-0.69273677,0.60746802
12.14,0.19460966,-0.33607600,-0.68818885,0.61284264
12.16,0.19355544,-0.33612627,-0.68246081,0.61951809
12.18,0.19267563,-0.33615251,-0.67784290,0.62482525
12.20,0.19176563,-0.33616593,-0.67319257,0.63010331
12.22,0.19010105,-0.33615799,-0.66497529,0.63927088
12.24,0.18885549,-0.33612308,-0.65904086,0.64577088
12.27,0.18730247,-0.33605016,-0.65185600,0.65350734
12.28,0.18625039,-0.33600211,-0.64703143,0.65860739
12.31,0.18469456,-0.33598782,-0.63972779,0.66614447
12.32,0.18366389,-0.33601012,-0.63480944,0.67110487
12.34,0.18237104,-0.33606210,-0.62861187,0.67723717
12.36,0.18106289,-0.33613101,-0.62235551,0.68330504
12.39,0.17946482,-0.33621901,-0.61478073,0.69050258
12.41,0.17782419,-0.33629790,-0.60713714,0.69761506
12.44,0.17613072,-0.33635194,-0.59944118,0.70463864
12.46,0.17438056,-0.33635973,-0.59169525,0.71158294
12.48,0.17318163,-0.33632965,-0.58650334,0.71617339
12.50,0.17133972,-0.33622604,-0.57868789,0.72299037
12.52,0.17007561,-0.33611250,-0.57345350,0.72749828
12.53,0.16878232,-0.33596127,-0.56819966,0.73197793
12.55,0.16745918,-0.33577087,-0.56292717,0.73642946
12.57,0.16576496,-0.33547966,-0.55631856,0.74194679
12.58,0.16437987,-0.33520671,-0.55101334,0.74632434
12.60,0.16296929,-0.33489820,-0.54568706,0.75067292
12.62,0.16118166,-0.33448473,-0.53899516,0.75605863
12.64,0.15939946,-0.33409863,-0.53226571,0.76135611
12.66,0.15796855,-0.33380156,-0.52685462,0.76553685
12.67,0.15652167,-0.33350214,-0.52141547,0.76967733
12.69,0.15468202,-0.33311150,-0.51457838,0.77480275
12.72,0.15241483,-0.33260290,-0.50633458,0.78087792
12.74,0.15046521,-0.33212752,-0.49942436,0.78589239
12.76,0.14845597,-0.33160063,-0.49247405,0.79086735
12.77,0.14680378,-0.33114048,-0.48688595,0.79481866
12.79,0.14511259,-0.33064762,-0.48127155,0.79874413
12.81,0.14250027,-0.32984879,-0.47280177,0.80458184
12.83,0.14070816,-0.32927277,-0.46712331,0.80844077
12.85,0.13841181,-0.32849815,-0.46000019,0.81322258
12.86,0.13653335,-0.32783261,-0.45427393,0.81701874
12.88,0.13413357,-0.32695177,-0.44708030,0.82172376
12.90,0.13167507,-0.32602170,-0.43984915,0.82638021
12.92,0.12917925,-0.32510086,-0.43257459,0.83096412
12.94,0.12665584,-0.32422303,-0.42524597,0.83546609
12.96,0.12461352,-0.32354493,-0.41934512,0.83901122
12.98,0.12202568,-0.32271312,-0.41191468,0.84338145
13.00,0.11992113,-0.32204959,-0.40590516,0.84684354
13.01,0.11778692,-0.32139053,-0.39986444,0.85026043
13.03,0.11562234,-0.32073468,-0.39379331,0.85363199
13.05,0.11231578,-0.31975351,-0.38462669,0.85860652
13.07,0.11006769,-0.31909688,-0.37847474,0.86186957
13.09,0.10721162,-0.31827195,-0.37074845,0.86588349
13.11,0.10430966,-0.31744305,-0.36298642,0.86982197
13.13,0.10136667,-0.31660710,-0.35519109,0.87368417
13.15,0.09778482,-0.31559162,-0.34578887,0.87821985
13.17,0.09476166,-0.31473439,-0.33791571,0.88191579
13.19,0.09170360,-0.31386705,-0.33000797,0.88553524
13.21,0.08861170,-0.31298760,-0.32207091,0.88907652
13.23,0.08548604,-0.31209030,-0.31410315,0.89254187
13.26,0.08169326,-0.31098499,-0.30450099,0.89660119
13.27,0.07914285,-0.31022615,-0.29807442,0.89924845
13.30,0.07529795,-0.30908938,-0.28838996,0.90311971
13.32,0.07208961,-0.30819155,-0.28027468,0.90623792
13.34,0.06887189,-0.30731285,-0.27212349,0.90926579
13.36,0.06564357,-0.30643167,-0.26394429,0.91220829
13.38,0.06240796,-0.30553319,-0.25573474,0.91507074
13.40,0.05917017,-0.30460430,-0.24749685,0.91785643
13.42,0.05463915,-0.30323760,-0.23594833,0.92162352
13.44,0.05140466,-0.30219630,-0.22766935,0.92423029
13.47,0.04753510,-0.30086521,-0.21770361,0.92726786
13.49,0.04433119,-0.29968297,-0.20937553,0.92972402
13.50,0.04178395,-0.29868765,-0.20269792,0.93164013
13.53,0.03799344,-0.29710740,-0.19265645,0.93443415
13.55,0.03424454,-0.29542747,-0.18258636,0.93712974
13.58,0.03054406,-0.29365619,-0.17248803,0.93972389
13.60,0.02750101,-0.29211644,-0.16405217,0.94180601
13.62,0.02389464,-0.29018830,-0.15389280,0.94421226
13.64,0.02093333,-0.28859620,-0.14540691,0.94611355
13.66,0.01859389,-0.28734956,-0.13860350,0.94756191
13.67,0.01628003,-0.28611239,-0.13178851,0.94895018
13.70,0.01285958,-0.28426882,-0.12156631,0.95091929
13.72,0.01005910,-0.28273556,-0.11303623,0.95246114
13.73,0.00785621,-0.28150581,-0.10620517,0.95363160
13.75,0.00514990,-0.27995552,-0.09765742,0.95501906
13.77,0.00249545,-0.27838399,-0.08909346,0.95632551
13.79,0.00041129,-0.27711050,-0.08223642,0.95731226
13.80,-0.00163772,-0.27582371,-0.07537340,0.95824707
13.82,-0.00365427,-0.27451800,-0.06848879,0.95913284
13.84,-0.00613369,-0.27285247,-0.05985684,0.96017242
13.86,-0.00808404,-0.27149696,-0.05294609,0.96094784
13.88,-0.01095596,-0.26942402,-0.04257625,0.96201763
13.90,-0.01376244,-0.26729423,-0.03219571,0.96297862
13.92,-0.01560020,-0.26585665,-0.02527168,0.96355499
13.94,-0.01786727,-0.26409902,-0.01661197,0.96418697
13.96,-0.02010534,-0.26237217,-0.00794330,0.96472458
13.98,-0.02187701,-0.26099743,-0.00099503,0.96509106
13.99,-0.02362671,-0.25962240,0.00594679,0.96540283
14.02,-0.02620465,-0.25752900,0.01636229,0.96577658
14.03,-0.02788728,-0.25609694,0.02330998,0.96596755
14.05,-0.02954081,-0.25462342,0.03026190,0.96611514
14.07,-0.03196286,-0.25232190,0.04069142,0.96625889
14.09,-0.03353615,-0.25071397,0.04764820,0.96630610
14.10,-0.03507277,-0.24903838,0.05460841,0.96631657
14.12,-0.03694302,-0.24684647,0.06331332,0.96627815
14.15,-0.03910736,-0.24406782,0.07376426,0.96615752
14.17,-0.04117762,-0.24112914,0.08422459,0.96595412
14.19,-0.04284529,-0.23864012,0.09294459,0.96569999
14.21,-0.04445951,-0.23612352,0.10166437,0.96536697
14.23,-0.04569221,-0.23402806,0.10863872,0.96505996
14.24,-0.04686388,-0.23184302,0.11559597,0.96472284
14.26,-0.04826104,-0.22904094,0.12429025,0.96424222
14.28,-0.04959364,-0.22621535,0.13297764,0.96368254
14.30,-0.05085792,-0.22335213,0.14165929,0.96304722
14.32,-0.05181928,-0.22103011,0.14860046,0.96248551
14.34,-0.05295603,-0.21808245,0.15727291,0.96171770
14.36,-0.05422028,-0.21446521,0.16766550,0.96070449
14.38,-0.05518004,-0.21137097,0.17630588,0.95978837
14.40,-0.05605475,-0.20820142,0.18494094,0.95880492
14.42,-0.05684344,-0.20495641,0.19356920,0.95775397
14.44,-0.05740936,-0.20230574,0.20046710,0.95686441
14.46,-0.05814905,-0.19823784,0.21080770,0.95544783
14.48,-0.05866393,-0.19477036,0.21940954,0.95419207
14.51,-0.05915837,-0.19052082,0.22970570,0.95259508
14.53,-0.05946614,-0.18689520,0.23828235,0.95118635
14.55,-0.05967786,-0.18319202,0.24684599,0.94970853
14.57,-0.05978806,-0.17939524,0.25539703,0.94816406
14.59,-0.05978604,-0.17470767,0.26563811,0.94622368
14.61,-0.05967644,-0.17068842,0.27415461,0.94453345
14.63,-0.05947220,-0.16657994,0.28265426,0.94277290
14.65,-0.05920303,-0.16245904,0.29112741,0.94092874
14.67,-0.05886851,-0.15832167,0.29956758,0.93900373
14.69,-0.05845118,-0.15412680,0.30798397,0.93700281
14.71,-0.05793320,-0.14984348,0.31637670,0.93493126
14.74,-0.05716413,-0.14458331,0.32641136,0.93235377
14.76,-0.05639511,-0.14009101,0.33474157,0.93013019
14.77,-0.05569660,-0.13642233,0.34138727,0.92830037
14.79,-0.05492238,-0.13268392,0.34801528,0.92642532
14.81,-0.05361893,-0.12693989,0.35793075,0.92352415
14.83,-0.05265161,-0.12301608,0.36451984,0.92153141
14.85,-0.05133415,-0.11800882,0.37272893,0.91897327
14.88,-0.04928030,-0.11081204,0.38416041,0.91526659
14.90,-0.04733164,-0.10447885,0.39388773,0.91197387
14.92,-0.04557939,-0.09908868,0.40194983,0.90914261
14.94,-0.04371482,-0.09360249,0.40996747,0.90623080
14.96,-0.04174009,-0.08802433,0.41794302,0.90323481
14.98,-0.03969110,-0.08240944,0.42587427,0.90014688
15.00,-0.03800911,-0.07790506,0.43218722,0.89760811
15.02,-0.03584363,-0.07224838,0.44002615,0.89435585
15.04,-0.03359905,-0.06655049,0.44779292,0.89102393
15.06,-0.03126959,-0.06079911,0.45550292,0.88760508
15.08,-0.02835273,-0.05382731,0.46467028,0.88339135
15.10,-0.02529187,-0.04678237,0.47372534,0.87906543
15.12,-0.02316707,-0.04204296,0.47971878,0.87610819
15.14,-0.02042098,-0.03607318,0.48715091,0.87233348
15.16,-0.01815256,-0.03126287,0.49305785,0.86924512
15.18,-0.01522803,-0.02521550,0.50038006,0.86530462
15.19,-0.01281990,-0.02035632,0.50618775,0.86208772
15.21,-0.01035128,-0.01548352,0.51194904,0.85881389
15.22,-0.00782723,-0.01060400,0.51765920,0.85548538
15.24,-0.00459386,-0.00448922,0.52474067,0.85123791
15.26,-0.00128752,0.00161525,0.53174359,0.84690288
15.28,0.00206080,0.00766408,0.53866456,0.84248294
15.30,0.00544999,0.01365875,0.54549957,0.83798208
15.32,0.00819121,0.01841672,0.55090641,0.83432359
15.34,0.01165779,0.02431801,0.55758883,0.82967911
15.36,0.01446973,0.02901646,0.56289757,0.82589043
15.38,0.01803652,0.03486213,0.56948638,0.82106308
15.40,0.02165204,0.04065968,0.57598651,0.81616023
15.42,0.02604910,0.04754229,0.58366522,0.81018275
15.44,0.03049862,0.05432595,0.59121357,0.80410512
15.47,0.03498217,0.06099028,0.59862027,0.79794123
15.49,0.03874139,0.06644764,0.60469151,0.79273702
15.50,0.04176019,0.07074858,0.60949359,0.78852285
15.52,0.04553867,0.07603970,0.61541064,0.78320747
15.54,0.04931624,0.08123525,0.62123005,0.77784443
15.56,0.05309028,0.08633336,0.62695228,0.77243693
15.60,0.05909853,0.09426914,0.63590730,0.76370322
15.61,0.06207796,0.09813033,0.64030354,0.75929450
15.63,0.06502888,0.10191046,0.64463941,0.75486790
15.65,0.06941007,0.10744006,0.65103364,0.74819387
15.67,0.07302666,0.11193482,0.65625971,0.74260413
15.69,0.07589475,0.11546000,0.66037464,0.73811538
15.71,0.08030362,0.12079465,0.66642177,0.73132893
15.73,0.08550500,0.12682741,0.67118554,0.72533694
15.76,0.09572206,0.13816886,0.67624033,0.71724868
15.78,0.10722133,0.15054405,0.67981369,0.70971362
15.80,0.12038773,0.16437893,0.68283819,0.70158276
15.82,0.13963248,0.18405815,0.68637419,0.68957657
15.84,0.15290985,0.19726727,0.68859279,0.68084079
15.86,0.16282214,0.20691176,0.69030755,0.67390797
15.88,0.17616623,0.21955143,0.69293520,0.66377966
15.90,0.18569441,0.22828023,0.69528624,0.65573072
15.92,0.19366962,0.23532962,0.69788045,0.64813187
15.94,0.19898348,0.23985325,0.70013320,0.64240913
15.96,0.20433980,0.24419904,0.70321495,0.63568924
15.98,0.20759083,0.24665296,0.70591979,0.63067076
16.00,0.21038613,0.24849325,0.70962401,0.62483801
16.02,0.21174178,0.24900239,0.71368881,0.61952523
16.04,0.21152836,0.24796988,0.71903435,0.61380478
16.06,0.21001860,0.24596292,0.72381830,0.60949282
16.08,0.20809569,0.24376538,0.72779920,0.60628620
16.09,0.20559803,0.24110820,0.73189991,0.60325683
16.12,0.20009219,0.23559333,0.73928384,0.59826274
16.14,0.19638875,0.23203692,0.74358293,0.59554576
16.16,0.19131541,0.22729188,0.74899337,0.59223791
16.17,0.18695793,0.22330413,0.75333070,0.58963960
16.19,0.18123841,0.21816434,0.75873386,0.58641272
16.21,0.17650850,0.21397791,0.76302492,0.58382461
16.22,0.17168011,0.20975199,0.76728493,0.58120898
16.24,0.16557476,0.20446878,0.77254308,0.57788814
16.27,0.15822620,0.19818477,0.77872604,0.57382316
16.29,0.15216028,0.19304900,0.78376311,0.57034614
16.30,0.14738300,0.18903183,0.78771020,0.56750143
16.32,0.14153977,0.18414433,0.79253475,0.56386704
16.34,0.13588647,0.17943271,0.79723404,0.56013985
16.36,0.13152274,0.17580023,0.80090593,0.55708683
16.38,0.12731410,0.17229851,0.80449871,0.55397307
16.40,0.12131264,0.16730329,0.80974123,0.54919213
16.42,0.11571630,0.16263659,0.81480795,0.54428584
16.44,0.11137700,0.15901042,0.81890019,0.54010492
16.46,0.10734075,0.15562707,0.82287892,0.53584369
16.48,0.10433270,0.15309568,0.82598656,0.53237449
16.50,0.10018737,0.14958999,0.83053611,0.52706270
16.52,0.09766255,0.14744750,0.83348889,0.52346683
16.54,0.09474188,0.14496568,0.83709703,0.51891954
16.56,0.09207470,0.14269459,0.84061590,0.51432033
16.58,0.08919459,0.14024029,0.84472248,0.50874446
16.60,0.08705791,0.13842061,0.84805369,0.50404920
16.62,0.08514014,0.13679280,0.85131095,0.49930807
16.65,0.08312414,0.13508730,0.85512905,0.49355456
16.67,0.08168376,0.13387780,0.85822428,0.48872854
16.68,0.08067175,0.13303996,0.86064686,0.48484990
16.70,0.07954336,0.13212974,0.86360944,0.47999305
16.72,0.07873654,0.13150098,0.86592979,0.47610256
16.75,0.07748577,0.13059069,0.86989742,0.46927658
16.77,0.07670289,0.13007932,0.87265485,0.46440235
16.79,0.07581977,0.12957977,0.87588001,0.45857895
16.82,0.07482884,0.12911118,0.87903964,0.45279162
16.84,0.07390024,0.12872956,0.88162532,0.44800028
16.85,0.07313144,0.12844946,0.88366332,0.44417526
16.87,0.07235539,0.12819532,0.88567485,0.44035294
16.89,0.07121561,0.12788150,0.88863447,0.43463023
16.91,0.07031060,0.12768544,0.89105221,0.42985905
16.93,0.06946625,0.12755236,0.89342450,0.42508528
16.96,0.06854763,0.12747850,0.89620849,0.41935759
16.98,0.06786975,0.12749042,0.89847580,0.41458549
