t,qx,qy,qz,qw
1.86,-0.15479788,-0.00353892,0.64410719,0.74910014
1.88,-0.15637242,0.00187652,0.65007216,0.74360630
1.90,-0.15756856,0.00620382,0.65482587,0.73914595
1.92,-0.15898392,0.01160294,0.66074811,0.73348580
1.94,-0.16031301,0.01697878,0.66664293,0.72773530
1.96,-0.16131080,0.02124989,0.67133197,0.72307721
1.97,-0.16224807,0.02548826,0.67599307,0.71837266
1.99,-0.16334943,0.03077647,0.68183450,0.71237034
2.01,-0.16435579,0.03597856,0.68758166,0.70634565
2.03,-0.16509919,0.04008382,0.69214898,0.70147368
2.05,-0.16611606,0.04613528,0.69895005,0.69407912
2.07,-0.16673359,0.05008529,0.70344562,0.68909769
2.09,-0.16744176,0.05491324,0.70901888,0.68281770
2.11,-0.16824336,0.06053931,0.71566476,0.67516895
2.13,-0.16892650,0.06504768,0.72115620,0.66870500
2.15,-0.16947820,0.06853366,0.72551061,0.66348672
2.17,-0.17030513,0.07358450,0.73199112,0.65556883
2.20,-0.17112740,0.07842749,0.73841122,0.64754413
2.21,-0.17167013,0.08153874,0.74265091,0.64214517
2.23,-0.17233720,0.08533233,0.74794004,0.63529834
2.25,-0.17285741,0.08829152,0.75215702,0.62974974
2.26,-0.17336530,0.09117560,0.75634812,0.62415464
2.28,-0.17386098,0.09399417,0.76051978,0.61850394
2.30,-0.17458257,0.09809284,0.76673112,0.60993615
2.33,-0.17528504,0.10202768,0.77287955,0.60126758
2.34,-0.17574355,0.10455827,0.77693951,0.59543831
2.36,-0.17630446,0.10764063,0.78198338,0.58807501
2.38,-0.17674565,0.11003111,0.78598646,0.58213350
2.40,-0.17730392,0.11291911,0.79094133,0.57465155
2.42,-0.17807022,0.11619541,0.79678297,0.56562047
2.45,-0.17893155,0.11928831,0.80252328,0.55651611
2.46,-0.17954719,0.12126133,0.80629745,0.55040250
2.48,-0.18019079,0.12317766,0.81003832,0.54423934
2.50,-0.18103097,0.12551792,0.81468912,0.53642770
2.52,-0.18190636,0.12777726,0.81927460,0.52855669
2.54,-0.18280872,0.12996685,0.82379692,0.52062292
2.56,-0.18392383,0.13250525,0.82913129,0.51103393
2.58,-0.18468352,0.13414726,0.83263211,0.50459912
2.60,-0.18545350,0.13575524,0.83608922,0.49812884
2.62,-0.18642673,0.13776068,0.84038013,0.48992684
2.64,-0.18741341,0.13972203,0.84459509,0.48167739
2.65,-0.18821027,0.14126293,0.84791499,0.47503879
2.67,-0.18901394,0.14278030,0.85118928,0.46836345
2.69,-0.19003107,0.14463916,0.85520734,0.45998708
2.70,-0.19085768,0.14608360,0.85834220,0.45330077
2.72,-0.19190123,0.14785401,0.86219274,0.44490088
2.74,-0.19276776,0.14925559,0.86522652,0.43811690
2.77,-0.19442590,0.15162363,0.87038766,0.42618559
2.79,-0.19568968,0.15326880,0.87396650,0.41760840
2.81,-0.19699640,0.15488961,0.87746100,0.40897899
2.82,-0.19806126,0.15617401,0.88019690,0.40203835
2.84,-0.19940297,0.15777725,0.88356332,0.39326920
2.86,-0.20073825,0.15939078,0.88686805,0.38440058
2.88,-0.20205730,0.16101341,0.89010186,0.37545467
2.91,-0.20360954,0.16296418,0.89387425,0.36465690
2.93,-0.20487674,0.16459315,0.89692313,0.35561709
2.95,-0.20611176,0.16622866,0.89988865,0.34653484
2.96,-0.20707547,0.16754145,0.90219925,0.33924346
2.99,-0.20870195,0.16988272,0.90613353,0.32635162
3.02,-0.21003462,0.17191810,0.90937549,0.31522347
3.04,-0.21113814,0.17361668,0.91197114,0.30591922
3.06,-0.21230589,0.17529810,0.91445217,0.29660415
3.08,-0.21353320,0.17695781,0.91681994,0.28728156
3.10,-0.21480739,0.17859881,0.91907555,0.27795751
3.11,-0.21584863,0.17991795,0.92081161,0.27045310
3.13,-0.21690583,0.18123390,0.92248563,0.26291899
3.15,-0.21824283,0.18286440,0.92448368,0.25349674
3.16,-0.21931755,0.18415537,0.92600892,0.24595548
3.18,-0.22066432,0.18575176,0.92782452,0.23652739
3.20,-0.22201466,0.18732504,0.92953886,0.22710423
3.22,-0.22336722,0.18887264,0.93115291,0.21768894
3.24,-0.22471818,0.19039483,0.93266827,0.20828214
3.26,-0.22605841,0.19189045,0.93409652,0.19884504
3.28,-0.22738738,0.19335395,0.93543020,0.18941905
3.30,-0.22843530,0.19450213,0.93643168,0.18188442
3.32,-0.22946612,0.19563251,0.93737601,0.17435437
3.34,-0.23072708,0.19702182,0.93847491,0.16496138
3.36,-0.23194979,0.19839114,0.93948709,0.15557716
3.38,-0.23313129,0.19974306,0.94041361,0.14620109
3.39,-0.23404470,0.20081343,0.94109551,0.13869497
3.41,-0.23517274,0.20214314,0.94186984,0.12927929
3.43,-0.23634171,0.20346254,0.94253497,0.11988919
3.46,-0.23777279,0.20504158,0.94319523,0.10864998
3.48,-0.23919452,0.20662340,0.94371275,0.09746282
3.50,-0.24034105,0.20795585,0.94404653,0.08812886
3.52,-0.24145388,0.20930680,0.94428753,0.07881460
3.54,-0.24231380,0.21040570,0.94441473,0.07137426
3.56,-0.24334715,0.21180271,0.94449297,0.06208710
3.58,-0.24433500,0.21323341,0.94448012,0.05281304
3.60,-0.24527834,0.21470525,0.94437447,0.04355525
3.62,-0.24617958,0.21622867,0.94417382,0.03430129
3.63,-0.24687178,0.21747826,0.94394497,0.02693365
3.65,-0.24753515,0.21876299,0.94365564,0.01957409
3.66,-0.24816790,0.22008393,0.94330609,0.01222161
3.68,-0.24890768,0.22178851,0.94278607,0.00304058
3.71,0.24971095,-0.22390846,-0.94204381,0.00793188
3.73,0.25030672,-0.22574366,-0.94132642,0.01705643
3.75,0.25086349,-0.22765071,-0.94050925,0.02617269
3.77,0.25154990,-0.23002605,-0.93938166,0.03705075
3.79,0.25200300,-0.23166126,-0.93854523,0.04427645
3.81,0.25254060,-0.23375977,-0.93741084,0.05329669
3.83,0.25311039,-0.23635091,-0.93592924,0.06410797
3.85,0.25349800,-0.23856923,-0.93460071,0.07310952
3.87,0.25379571,-0.24083904,-0.93318660,0.08214058
3.89,0.25396745,-0.24268559,-0.93199702,0.08936326
3.91,0.25409533,-0.24502645,-0.93043930,0.09838859
3.93,0.25411411,-0.24787421,-0.92847116,0.10920487
3.95,0.25404371,-0.24979029,-0.92710034,0.11641119
3.96,0.25391003,-0.25171692,-0.92568293,0.12360986
3.99,0.25358445,-0.25463517,-0.92346502,0.13441806
4.00,0.25328702,-0.25659034,-0.92192792,0.14161919
4.02,0.25283224,-0.25903539,-0.91994288,0.15060420
4.04,0.25228939,-0.26147569,-0.91788856,0.15956538
4.06,0.25166328,-0.26390585,-0.91576679,0.16849476
4.08,0.25112468,-0.26583992,-0.91401650,0.17561140
4.10,0.25046754,-0.26825626,-0.91174660,0.18445252
4.12,0.24981203,-0.27066720,-0.90938084,0.19328660
4.14,0.24928620,-0.27258537,-0.90742807,0.20031950
4.16,0.24861581,-0.27495923,-0.90492060,0.20906055
4.18,0.24792824,-0.27729919,-0.90234319,0.21774643
4.20,0.24722439,-0.27959857,-0.89970043,0.22637109
4.22,0.24621849,-0.28274309,-0.89589662,0.23833179
4.24,0.24548772,-0.28493738,-0.89310588,0.24679618
4.26,0.24489902,-0.28666086,-0.89083114,0.25351509
4.28,0.24430356,-0.28835491,-0.88852065,0.26018891
4.30,0.24354585,-0.29043076,-0.88558261,0.26847501
4.32,0.24262128,-0.29285931,-0.88198489,0.27833610
4.34,0.24184086,-0.29483165,-0.87892845,0.28648223
4.36,0.24087747,-0.29714154,-0.87518509,0.29620264
4.38,0.24024316,-0.29865944,-0.87263712,0.30263876
4.40,0.23950724,-0.30055428,-0.86938070,0.31061327
4.42,0.23894772,-0.30206471,-0.86672142,0.31694617
4.43,0.23840350,-0.30356630,-0.86401877,0.32323805
4.45,0.23773595,-0.30542728,-0.86058314,0.33104750
4.48,0.23679670,-0.30800584,-0.85567551,0.34187592
4.50,0.23609858,-0.30984457,-0.85209767,0.34954736
4.52,0.23522896,-0.31202056,-0.84773463,0.35868720
4.54,0.23446829,-0.31380228,-0.84404712,0.36624748
4.56,0.23366964,-0.31554840,-0.84031550,0.37376138
4.58,0.23283444,-0.31724828,-0.83654089,0.38123613
4.60,0.23195824,-0.31889520,-0.83272540,0.38867677
4.62,0.23122786,-0.32016940,-0.82965199,0.39459195
4.64,0.23007903,-0.32199892,-0.82500218,0.40342502
4.66,0.22927764,-0.32315888,-0.82187746,0.40928907
4.68,0.22845113,-0.32426862,-0.81873360,0.41513279
4.70,0.22716711,-0.32584003,-0.81398631,0.42385100
4.72,0.22605792,-0.32705912,-0.80999857,0.43108289
4.74,0.22491456,-0.32819796,-0.80598687,0.43827470
4.76,0.22376610,-0.32928394,-0.80193476,0.44542279
4.78,0.22264860,-0.33034470,-0.79782861,0.45251464
4.80,0.22154486,-0.33137197,-0.79367290,0.45955828
4.82,0.22043655,-0.33235864,-0.78947845,0.46655037
4.84,0.21930472,-0.33329908,-0.78525033,0.47349665
4.86,0.21836648,-0.33401430,-0.78183147,0.47905124
4.88,0.21687829,-0.33501972,-0.77662215,0.48742552
4.90,0.21558181,-0.33579873,-0.77224281,0.49437308
4.92,0.21450510,-0.33638530,-0.76870942,0.49991832
4.93,0.21339199,-0.33693990,-0.76514726,0.50545527
4.96,0.21166238,-0.33771383,-0.75974955,0.51374023
4.98,0.21016904,-0.33831168,-0.75518543,0.52064301
5.00,0.20863069,-0.33887028,-0.75056753,0.52753061
5.01,0.20737391,-0.33928816,-0.74683963,0.53301986
5.04,0.20544892,-0.33987092,-0.74119206,0.54121422
5.06,0.20381852,-0.34031954,-0.73643589,0.54799890
5.07,0.20249820,-0.34065430,-0.73259618,0.55340037
5.09,0.20084614,-0.34106098,-0.72774727,0.56010906
5.11,0.19923611,-0.34149936,-0.72283191,0.56674261
5.13,0.19796806,-0.34186733,-0.71885283,0.57200174
5.15,0.19639100,-0.34233832,-0.71382000,0.57852921
5.17,0.19449510,-0.34290741,-0.70769823,0.58630145
5.19,0.19290090,-0.34338332,-0.70251981,0.59274198
5.21,0.19161150,-0.34376141,-0.69833131,0.59786830
5.23,0.18965759,-0.34431433,-0.69197994,0.60550921
5.25,0.18834350,-0.34467213,-0.68770082,0.61056976
5.27,0.18668162,-0.34511017,-0.68229953,0.61686004
5.29,0.18499173,-0.34553322,-0.67683797,0.62311734
5.30,0.18361931,-0.34586335,-0.67242440,0.62809866
5.32,0.18222698,-0.34619046,-0.66796435,0.63306329
5.35,0.17973841,-0.34675649,-0.66005519,0.64170179
5.37,0.17789678,-0.34714723,-0.65429621,0.64787191
5.39,0.17601928,-0.34753705,-0.64846555,0.65400889
5.41,0.17410617,-0.34792733,-0.64256179,0.66011208
5.43,0.17217839,-0.34834309,-0.63658262,0.66616384
5.45,0.17027646,-0.34883274,-0.63051547,0.67213978
5.47,0.16801662,-0.34949780,-0.62313007,0.67921324
